$ZQDM,$SC,$ZQDM1,$SC1,JZRQ,DWJZ,ZXFE,FEBH,ZFEBH,YFEBH,YZGM,YYGM,ZXSSDW
159213,0,H30590,62,20260318,1.1961,539737500.00,0.00,-4500000.00,-63000000.00,677031450.00,779942325.00,150.00
159215,0,000510,1,20260318,1.2983,1009582800.00,0.00,0.00,-60000000.00,1334668461.60,1413988461.60,300.00
159216,0,399330,0,20260318,1.4427,11048200.00,0.00,0.00,0.00,15997793.60,15809974.20,150.00
159217,0,987018,102,20260318,1.2592,4386157500.00,0.00,0.00,460000000.00,5421290670.00,5123635537.50,100.00
159218,0,931594,62,20260318,1.8080,2252616300.00,-144000000.00,-194000000.00,-58000000.00,4665697284.10,4313920632.10,100.00
159219,0,399330,0,20260318,1.3395,40388000.00,-2000000.00,2000000.00,2000000.00,51555084.00,50979264.00,200.00
159220,0,SPAHLVCP,12,20260318,0.6239,471569500.00,0.00,0.00,14000000.00,294730937.50,292844480.00,200.00
159221,0,980092,102,20260318,1.3492,1042013200.00,11000000.00,151000000.00,222000000.00,1245636453.60,1101277727.60,100.00
159222,0,980092,102,20260318,1.4391,1327370400.00,16000000.00,152000000.00,303000000.00,1750126525.60,1465874042.40,100.00
159223,0,980092,102,20260318,1.3172,334844700.00,0.00,14000000.00,15000000.00,436348792.00,418996557.00,100.00
159225,0,980092,102,20260318,1.4152,293744800.00,0.00,18000000.00,38000000.00,403690387.20,359832933.60,100.00
159226,0,000510,1,20260318,1.2752,69094800.00,0.00,0.00,3000000.00,89546860.80,85989334.80,300.00
159227,0,CN5082,102,20260318,1.3633,2875911100.00,-25000000.00,249000000.00,462000000.00,3832663294.90,3582244072.40,100.00
159228,0,930955,62,20260318,1.0709,143212600.00,0.00,-2000000.00,-11000000.00,156103545.00,163002718.20,100.00
159229,0,932368,62,20260318,1.3629,125556000.00,4000000.00,23500000.00,28500000.00,,129666816.00,50.00
159230,0,980076,102,20260318,1.2711,443304200.00,-11000000.00,-46000000.00,-83000000.00,655667628.00,706300236.40,100.00
159231,0,980076,102,20260318,0.6644,309091800.00,-1000000.00,0.00,9000000.00,216673351.80,210964535.40,100.00
159232,0,932365,62,20260318,1.3907,2798948500.00,34000000.00,220000000.00,476000000.00,3687896355.00,3168501754.00,200.00
159233,0,932365,62,20260318,1.3656,433623400.00,2000000.00,10000000.00,-32000000.00,591378266.40,619279122.00,100.00
159235,0,932365,62,20260318,1.4081,2370729500.00,-15000000.00,365000000.00,248000000.00,2896273398.00,2933612169.00,100.00
159236,0,932365,62,20260318,1.3765,57722100.00,0.00,2000000.00,1000000.00,78679605.20,76574835.00,100.00
159237,0,931239,62,20260318,1.0564,29334200.00,0.00,-2000000.00,-13000000.00,33245586.20,45974941.20,100.00
159238,0,000300,1,20260318,1.2661,33016100.00,-2000000.00,-2000000.00,-2000000.00,44925656.30,44785591.90,100.00
159239,0,HZ5554,27,20260318,0.9843,90280700.00,0.00,-4000000.00,0.00,92583647.40,91273787.70,50.00
159240,0,000510,1,20260318,1.2861,17619700.00,3000000.00,3000000.00,3000000.00,19122567.60,19151807.00,300.00
159241,0,CN5082,102,20260318,1.3914,715074200.00,-5000000.00,28000000.00,61000000.00,1024427632.20,990268338.80,100.00
159242,0,970070,102,20260318,1.8408,223278500.00,-18000000.00,1000000.00,-1000000.00,414327124.00,429493327.50,100.00
159243,0,970070,102,20260318,1.1051,196030200.00,-7000000.00,15000000.00,1000000.00,202391763.60,223894669.60,100.00
159245,0,987024,102,20260318,0.9348,163113200.00,0.00,1000000.00,-2000000.00,151575842.00,164617860.40,100.00
159246,0,970070,102,20260318,1.0302,3321655600.00,-64000000.00,-12000000.00,-6000000.00,3477002790.80,3567246803.20,200.00
159247,0,399006,0,20260318,1.0024,251984900.00,0.00,-16000000.00,8000000.00,268788854.70,242033020.80,200.00
159248,0,930713,62,20260318,1.5148,202095600.00,-5000000.00,-6000000.00,-18000000.00,316305312.00,343569231.60,100.00
159249,0,000510,1,20260318,1.3105,114191900.00,0.00,12000000.00,12000000.00,136017418.90,136221802.70,300.00
159251,0,987008,102,20260318,0.8800,294787700.00,0.00,19000000.00,51000000.00,239383723.60,224772259.40,100.00
159253,0,399986,0,20260318,0.9546,100704900.00,-2100000.00,-7200000.00,-14700000.00,101106891.30,107095747.20,30.00
159255,0,980076,102,20260318,1.1496,44338800.00,0.00,0.00,-1000000.00,53827303.20,55177319.60,100.00
159256,0,399264,0,20260318,1.0327,498183700.00,-17000000.00,-3000000.00,-66000000.00,532257089.40,618345335.20,100.00
159257,0,980076,102,20260318,1.1539,142416900.00,0.00,3000000.00,1000000.00,169391533.50,172245784.20,100.00
159258,0,H30590,62,20260318,1.1120,1570265600.00,-15000000.00,-27000000.00,-57000000.00,1843244502.40,1960855048.00,150.00
159259,0,980080,102,20260318,1.1100,1031696400.00,16000000.00,-6000000.00,-80000000.00,1174672324.80,1243988271.60,200.00
159260,0,399975,0,20260318,0.8767,1062213500.00,2500000.00,12500000.00,33000000.00,930046161.00,950993274.00,50.00
159261,0,399266,0,20260318,1.6312,61814900.00,0.00,-6000000.00,6000000.00,112776178.70,89638729.40,200.00
159262,0,HZ5506,27,20260318,0.9554,11016220400.00,2000000.00,-1000000.00,818500000.00,10411273278.00,10269104442.80,50.00
159263,0,980081,102,20260318,1.2109,2133105100.00,21000000.00,224000000.00,472000000.00,2348199273.00,1993326120.00,100.00
159265,0,987024,102,20260318,0.9547,389950800.00,0.00,0.00,-25000000.00,371623112.40,422004963.60,100.00
159266,0,931233,62,20260318,1.0413,470710000.00,-1000000.00,2000000.00,-68000000.00,489333240.00,563490660.00,100.00
159267,0,CN5082,102,20260318,1.1631,1652506100.00,-13000000.00,90000000.00,202000000.00,1946882600.60,1837791228.70,100.00
159268,0,987024,102,20260318,0.9244,789055000.00,2000000.00,12000000.00,-17000000.00,717998820.00,794770230.00,100.00
159269,0,931573CNY00,62,20260318,0.9377,2186311700.00,0.00,13000000.00,26000000.00,2010313322.50,2089021413.90,100.00
159270,0,399019,0,20260318,1.1870,140763600.00,-4000000.00,0.00,-2000000.00,171872355.60,175313700.80,200.00
159271,0,HSI,27,20260318,1.0026,76386700.00,0.00,1000000.00,11000000.00,75160539.90,67152140.90,100.00
159272,0,980022,102,20260318,0.8674,2831164600.00,12000000.00,34000000.00,45000000.00,2520245304.60,2658001028.40,100.00
159273,0,931470,62,20260318,1.3770,1083777500.00,0.00,18000000.00,18000000.00,1472904505.00,1464378285.00,200.00
159275,0,930910,62,20260318,1.0326,205302900.00,0.00,7000000.00,15000000.00,207226530.50,184974418.80,100.00
159276,0,980092,102,20260318,1.2643,369696600.00,3000000.00,28000000.00,77000000.00,447622546.00,368797716.00,100.00
159277,0,930914,62,20260318,1.0167,84557000.00,0.00,-1000000.00,-15000000.00,87353697.00,101647697.00,100.00
159278,0,980022,102,20260318,1.0263,1357545800.00,13000000.00,16000000.00,-29000000.00,1431429368.60,1562637116.60,100.00
159279,0,970070,102,20260318,1.2446,166387500.00,-5000000.00,8000000.00,9000000.00,199568250.00,203816812.50,100.00
159280,0,987022,102,20260318,0.8316,117717100.00,0.00,-1000000.00,18000000.00,97941607.50,87950482.20,100.00
159281,0,931233,62,20260318,1.0283,377233000.00,0.00,42000000.00,12000000.00,346630922.00,381668485.00,100.00
159283,0,931855,62,20260318,1.1734,291437900.00,-7000000.00,-3000000.00,3000000.00,366575185.50,355932368.60,100.00
159285,0,987024,102,20260318,0.9206,320486600.00,0.00,0.00,-6000000.00,294527185.40,319956868.00,100.00
